CODACESSONUM;CGCFORNEC;TIPCODIGO;SEQFAMILIA;QTDEMBALAGEM;SEQPRODUTO;INDUTILVENDA;INDREPLICACAO;INDGEROUREPLICACAO;CODACESSO;INDUTILWMS;INDPREFEDI;INDEANTRIBNFE;DTAHORALTERACARGAPDV;USUARIOALTERACAO;DTAINIUTILCODTRANS;DTAFINALUTILCODTRANS;INDUTILNFE;INDABCPREFERENCIAL;INDGTINFABPROPRIA;MULTEQPEMB;MULTEQPEMBALAGEM;DATAHORAALTERACAO;NROBASEEXPORTACAOERP;CGCFORNEC_BKP
;0;I;26;1;5;N;S;;1001315;S;;;2024-09-18-17.20.23.000000;LUSENA;;;S;;;;;2024-09-18-17.20.23.000000;;0
;0;E;26;1;37;S;S;;7622210571496;S;;;2024-09-18-17.30.39.000000;LUSENA;;;S;;;;;2024-09-18-17.30.39.000000;;0
;0;E;26;1;41;S;S;;7622210571540;S;;;2024-09-18-17.49.04.000000;LUSENA;;;S;;;;;2024-09-18-17.49.04.000000;;0
;0;I;187;1;56;N;S;;1017373;S;;;2024-09-21-08.33.07.000000;CARIOS;;;S;;;;;2024-09-21-08.33.07.000000;;0
;0;I;189;1;60;N;S;;1403105;S;;;2024-09-21-09.54.03.000000;CARIOS;;;S;;;;;2024-09-21-09.54.03.000000;;0
;0;E;190;1;61;S;S;;7891141022852;S;;;2024-09-21-09.55.42.000000;LUSENA;;;S;;;;;2024-09-21-09.55.42.000000;;0
;0;I;37170;1;63;N;S;;1018888;S;;;2026-01-06-09.15.57.000000;IGORNAT;;;S;;;;;2026-01-06-09.15.57.000000;0;0
;0;E;37170;1;63;S;S;;7896436103247;S;;;2026-01-06-09.15.57.000000;IGORNAT;;;S;;;;;2026-01-06-09.15.57.000000;0;0
;0;E;59750;1;64;S;S;;7896436103223;S;;;2026-04-24-11.13.01.000000;JORSALDA;;;S;;;;;2026-04-24-11.13.01.000000;0;0
;0;I;192;1;65;N;S;;41243;S;;;2024-09-21-10.25.14.000000;LUSENA;;;S;;;;;2024-09-21-10.25.14.000000;;0
;0;E;193;1;66;S;S;;7896436100680;S;;;2024-09-21-10.26.44.000000;CARIOS;;;S;;;;;2024-09-21-10.26.44.000000;;0
;0;E;195;1;69;S;S;;7891141037535;S;;;2024-09-21-10.52.32.000000;LUSENA;;;S;;;;;2024-09-21-10.52.32.000000;;0
